timestamp,x,y
2025-02-25T15:21:25.2001651-05:00,18,18
2025-02-25T15:21:26.3460896-05:00,18,28
2025-02-25T15:21:27.4553759-05:00,26,7
2025-02-25T15:21:28.5013356-05:00,24,29
2025-02-25T15:21:29.6988374-05:00,9,18
2025-02-25T15:21:30.8825326-05:00,20,10
2025-02-25T15:21:31.8614590-05:00,21,6
2025-02-25T15:21:32.9763759-05:00,10,18
2025-02-25T15:21:33.9086779-05:00,21,29
2025-02-25T15:21:35.0000921-05:00,19,25
2025-02-25T15:21:36.0402301-05:00,13,13
2025-02-25T15:21:37.1904839-05:00,31,7
2025-02-25T15:21:38.0316854-05:00,21,20
2025-02-25T15:21:39.0475163-05:00,21,24
2025-02-25T15:21:39.9996377-05:00,27,15
2025-02-25T15:21:41.0954780-05:00,30,8
2025-02-25T15:21:42.2443136-05:00,22,17
2025-02-25T15:21:43.1813049-05:00,11,18
2025-02-25T15:21:43.9593882-05:00,22,24
2025-02-25T15:21:44.7829279-05:00,30,14
2025-02-25T15:21:45.9211254-05:00,16,37
2025-02-25T15:21:46.8892856-05:00,24,23
2025-02-25T15:21:47.8957074-05:00,18,16
2025-02-25T15:21:48.9451422-05:00,16,23
2025-02-25T15:21:49.7102806-05:00,43,8
2025-02-25T15:21:50.6327751-05:00,10,9
2025-02-25T15:21:51.4582717-05:00,24,20
2025-02-25T15:21:52.6468985-05:00,19,13
2025-02-25T15:21:53.6072725-05:00,30,12
2025-02-25T15:21:54.5857530-05:00,32,22
2025-02-25T15:21:55.7184851-05:00,20,29
2025-02-25T15:21:56.6639076-05:00,30,14
2025-02-25T15:21:57.8996275-05:00,7,24
2025-02-25T15:21:58.9335389-05:00,23,15
2025-02-25T15:21:59.7010215-05:00,26,17
2025-02-25T15:22:00.8844145-05:00,31,5
2025-02-25T15:22:01.8293747-05:00,13,6
2025-02-25T15:22:02.6781836-05:00,31,30
2025-02-25T15:22:03.5268628-05:00,17,8
2025-02-25T15:22:04.4860662-05:00,12,18
2025-02-25T15:22:05.4840528-05:00,25,23
2025-02-25T15:22:06.4388775-05:00,11,33
2025-02-25T15:22:07.4070810-05:00,26,24
2025-02-25T15:22:08.7876106-05:00,27,22
2025-02-25T15:22:10.4661703-05:00,15,28
2025-02-25T15:22:11.3360608-05:00,36,22
2025-02-25T15:22:12.2398249-05:00,35,10
2025-02-25T15:22:13.4923271-05:00,33,27
2025-02-25T15:22:14.3670796-05:00,17,18
2025-02-25T15:22:15.0482305-05:00,11,21
2025-02-25T15:22:16.2309271-05:00,36,24
2025-02-25T15:22:17.3221104-05:00,30,39
2025-02-25T15:22:18.4357674-05:00,18,22
2025-02-25T15:22:19.6281565-05:00,27,12
2025-02-25T15:22:20.5087152-05:00,26,2
2025-02-25T15:22:21.2617761-05:00,3,29
2025-02-25T15:22:22.5160734-05:00,11,3
2025-02-25T15:22:23.4841259-05:00,37,20
2025-02-25T15:22:24.2140546-05:00,32,15
2025-02-25T15:22:25.0066882-05:00,26,31
2025-02-25T15:22:25.9522493-05:00,31,17
2025-02-25T15:22:27.0309780-05:00,27,19
2025-02-25T15:22:28.1816823-05:00,36,14
2025-02-25T15:22:29.0385848-05:00,28,21
2025-02-25T15:22:29.8713557-05:00,10,23
2025-02-25T15:22:30.5773075-05:00,9,24
2025-02-25T15:22:31.5542316-05:00,28,12
2025-02-25T15:22:32.5070882-05:00,37,5
2025-02-25T15:22:33.6165893-05:00,24,25
2025-02-25T15:22:34.6883462-05:00,29,34
2025-02-25T15:22:35.5614912-05:00,41,7
2025-02-25T15:22:36.4192483-05:00,43,2
2025-02-25T15:22:37.5527836-05:00,8,2
2025-02-25T15:22:38.5606262-05:00,29,12
2025-02-25T15:22:39.4801851-05:00,15,41
